ID,,Player,height,weight,collage,born,birth_city,birth_state
1,0,Curly Armstrong,1501,109,Indiana University,1918,,
2,1,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana
3,2,Leo Barnhorst,193,86,University of Notre Dame,1924,,
4,3,Ed Bartels,196,88,North Carolina State University,1925,,
5,4,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky
6,5,Gene Berce,180,79,Marquette University,1926,,
7,6,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho
8,7,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania
9,8,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey
10,9,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana
11,10,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan
12,11,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York
13,12,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma
14,13,Bob Brannum,196,97,Michigan State University,1925,,
15,14,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York
16,15,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana
17,16,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas
18,17,Bob Brown,193,92,Miami University,1923,Versailles,Ohio
19,18,Jim Browne,208,106,,1930,Midlothian,Illinois
20,19,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey
21,20,Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,,
22,21,Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey
23,22,Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California
24,23,Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota
25,24,Bob Carpenter,196,90,East Texas State University,1917,,
26,25,Jake Carter,193,88,East Texas State University,1924,,
27,26,Al Cervi*,180,77,,1917,Buffalo,New York
28,27,John Chaney,190,83,Louisiana State University,1920,,
29,28,Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana
30,29,Bill Closs,196,88,Rice University,1922,Edge,Texas
31,30,Paul Cloyd,188,81,University of Wisconsin,1920,,
32,31,Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky
33,32,Bobby Cook,178,70,University of Wisconsin,1923,,
34,33,Ray Corley,183,81,Georgetown University,1928,,
35,34,Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana
36,35,Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee
37,36,Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania
38,37,Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois
39,38,Jimmy Darden,185,77,University of Denver,1922,,
40,39,Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania
41,40,Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia
42,41,Earl Dodd,196,79,Truman State University,1924,,
43,42,Joe Dolhon,183,79,New York University,1927,,
44,43,Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado
45,44,Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey
46,45,Andy Duncan,198,88,College of William & Mary,1922,,
47,46,Dike Eddleman,190,85,University of Illinois at Urbana-Champaign,1922,Centralia,Illinois
48,47,Gene Englund,196,92,University of Wisconsin,1917,Kenosha,Wisconsin
49,48,Bob Evans,188,79,Butler University,1925,Indianapolis,Indiana
50,49,Johnny Ezersky,190,79,University of Rhode Island,1922,New York,New York
51,50,Bob Feerick,190,86,Santa Clara University,1920,San Francisco,California
52,51,George Feigenbaum,185,83,University of Kentucky,1929,,
53,52,Arnie Ferrin,188,81,University of Utah,1925,Salt Lake City,Utah
54,53,Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York
55,54,Joe Fulks*,196,86,Murray State University,1921,Birmingham,Kentucky
56,55,Bill Gabor,180,77,Syracuse University,1922,,
57,56,Elmer Gainer,198,88,DePaul University,1918,Chicago,Illinois
58,57,Harry Gallatin*,198,95,Truman State University,1927,Roxana,Illinois
59,58,Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming
60,59,Frank Gates,183,72,Sam Houston State University,1920,,
61,60,Dee Gibson,180,79,Western Kentucky University,1923,,
62,61,Hoot Gibson,196,89,Creighton University,1921,,
63,62,Chuck Gilmur,193,102,University of Washington,1922,,
64,63,Normie Glick,201,86,Loyola Marymount University,1927,,
65,64,Paul Gordon,190,83,University of Notre Dame,1927,,
66,65,Joe Graboski,201,88,,1930,,
67,66,Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin
68,67,Don Grate,188,83,Ohio State University,1923,Greenfield,Ohio
69,68,Alex Groza,201,98,University of Kentucky,1926,Martins Ferry,Ohio
70,69,Al Guokas,196,90,Saint Joseph's University,1925,,
71,70,Robert Hahn,208,108,North Carolina State University,1925,,
72,71,Chick Halbert,206,102,West Texas A&M University,1919,Albany,Texas
73,72,Bruce Hale,185,77,Santa Clara University,1918,Medford,Oregon
74,73,Dale Hamilton,183,81,Franklin College,1919,,
75,74,Alex Hannum*,201,95,University of Southern California,1923,Los Angeles,California
76,75,John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas
77,76,Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee
78,77,Bob Harrison,201,88,Oklahoma State University,1927,Linden,Tennessee
79,78,Billy Hassett,180,81,University of Notre Dame,1921,,
80,79,Marshall Hawkins,190,92,University of Tennessee,1924,Huntington,West Virginia
81,80,Bill Henry,206,97,Rice University,1924,Dallas,Texas
82,81,Bill Herman,190,77,Mount Union College,1924,,
83,82,Kleggie Hermsen,206,102,University of Minnesota,1923,Hill City,Minnesota
84,83,Sonny Hertzberg,178,79,City College of New York,1922,Brooklyn,New York
85,84,Paul Hoffman,188,88,Purdue University,1925,,
86,85,Joe Holland,193,83,University of Kentucky,1925,,
87,86,Red Holzman*,178,79,City College of New York,1920,Brooklyn,New York
88,87,Gene James,193,81,Marshall University,1925,Ironton,Ohio
89,88,Howie Janotta,190,83,Seton Hall University,1924,,
90,89,Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota
91,90,Buddy Jeannette*,180,79,Washington & Jefferson College,1917,New Kensington,Pennsylvania
92,91,Arnie Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
93,92,Ralph Johnson,180,77,Huntington University,1921,,
94,93,Wah Wah,180,77,,1921,,
95,94,Noble Jorgensen,206,103,University of Iowa,1925,,
96,95,George Kaftan,190,86,College of the Holy Cross,1928,New York,New York
97,96,Leo Katkaveck,183,83,North Carolina State University,1923,,
98,97,Jack Kerris,198,97,Loyola University of Chicago,1925,,
99,98,Bob Kinney,198,97,Rice University,1920,Fort Scott,Kansas
100,99,Walt Kirk,190,78,University of Illinois at Urbana-Champaign,1924,Mount Vernon,Illinois
101,100,Leo Klier,188,77,University of Notre Dame,1923,Washington,Indiana
102,101,Duane Klueh,190,79,Indiana State University,1926,Bottineau,North Dakota
103,102,Lee Knorek,201,97,University of Detroit Mercy,1921,Warsaw,Poland
104,103,Milo Komenich,201,96,University of Wyoming,1920,,
105,104,Leo Kubiak,180,72,Bowling Green State University,1927,,
106,105,Frank Kudelka,188,87,Saint Mary's College of California,1925,,
107,106,Walt Lautenbach,188,83,University of Wisconsin,1922,,
108,107,Tony Lavelli,190,83,Yale University,1926,Somerville,Massachusetts
109,108,Ed Leede,190,83,Dartmouth College,1927,,
110,109,Andrew Levane,188,86,St. John's University,1920,Brooklyn,New York
111,110,Freddie Lewis,188,88,Eastern Kentucky University,1921,Brooklyn,New York
112,111,Ron Livingstone,208,99,University of Wyoming,1925,,
113,112,John Logan,188,79,Indiana University,1921,Richmond,Indiana
114,113,Ray Lumpp,185,80,New York University,1923,Brooklyn,New York
115,114,Ed Macauley*,203,83,Saint Louis University,1928,St. Louis,Missouri
116,115,Johnny Macknowski,183,81,Seton Hall University,1923,,
117,116,John Mahnken,203,99,Georgetown University,1922,New Jersey,New Jersey
118,117,John Mandic,193,92,Oregon State University,1919,Los Angeles,California
119,118,Slater Martin*,178,77,University of Texas at Austin,1925,El Mina,Texas
120,119,Ariel Maughan,193,86,Utah State University,1923,Salt Lake City,Utah
121,120,Matt Mazza,190,95,Michigan State University,1923,Niagara Falls,New York
122,121,Mike McCarron,180,81,Seton Hall University,1922,,
123,122,Dick McGuire*,183,81,St. John's University,1926,Huntington,New York
124,123,Bones McKinney,198,83,University of North Carolina,1919,Lowlands,North Carolina
125,124,Mal McMullen,196,95,Xavier University,1927,,
126,125,Dick Mehen,196,88,University of Tennessee,1922,,
127,126,Ken Menke,183,76,University of Illinois at Urbana-Champaign,1922,,
128,127,Stan Miasek,196,95,,1924,,
129,128,Ed Mikan,203,104,DePaul University,1925,,
130,129,George Mikan*,208,111,DePaul University,1924,Joliet,Illinois
131,130,Vern Mikkelsen*,201,104,Hamline University,1928,Fresno,California
132,131,Al Miksis,201,95,Western Illinois University,1928,,
133,132,Murray Mitchell,201,95,Sam Houston State University,1923,,
134,133,Leo Mogus,193,86,Youngstown State University,1921,Ohio,
135,134,Max Morris,188,88,Northwestern University,1925,,
136,135,Joe Mullaney,183,74,College of the Holy Cross,1925,Long Island,New York
137,136,Jerry Nagel,183,86,Loyola University of Chicago,1928,Chicago,Illinois
138,137,Jack Nichols,201,100,University of Washington,1926,,
139,138,Richie Niemiera,185,74,University of Notre Dame,1921,Chicago,Illinois
140,139,Paul Noel,193,83,University of Kentucky,1924,Midway,Kentucky
141,140,Jim Nolan,203,95,Georgia Institute of Technology,1927,Macon,Georgia
142,141,Johnny Norlander,190,81,Hamline University,1921,Virginia,Minnesota
143,142,George Nostrand,203,88,University of Wyoming,1924,Uniondale,New York
144,143,Mike Novak,206,99,Loyola University of Chicago,1915,Chicago,Illinois
145,144,Dermie O'Connell,183,78,College of the Holy Cross,1928,,
146,145,Andy O'Donnell,185,81,Loyola College in Maryland,1925,,
147,146,Dick O'Keefe,188,83,Santa Clara University,1923,San Francisco,California
148,147,John Oldham,190,79,Western Kentucky University,1923,Beaver Dam,Kentucky
149,148,Gene Ollrich,180,72,Drake University,1922,Whiting,Indiana
150,149,Johnny Orr,190,88,Beloit College,1927,Yale,Kansas
151,150,Don Otten,208,108,Bowling Green State University,1921,Bellefontaine,Ohio
152,151,Mac Otten,201,99,Bowling Green State University,1925,Bellefontaine,Ohio
153,152,Red Owens,190,83,Baylor University,1925,,
154,153,Easy Parham,190,90,Texas Wesleyan University,1921,Fort Worth,Texas
155,154,Jack Parkinson,183,78,University of Kentucky,1924,Yorktown,Indiana
156,155,Charlie Parsley,188,79,Western Kentucky University,1925,,
157,156,Stan Patrick,188,83,University of Illinois at Urbana-Champaign,1922,,
158,157,Johnny Payak,193,78,Bowling Green State University,1926,,
159,158,Warren Perkins,190,86,Tulane University,1922,New Orleans,Louisiana
160,159,Ed Peterson,206,99,Cornell University,1924,,
161,160,Jack Phelan,196,88,DePaul University,1925,Chicago,Illinois
162,161,Andy Phillip*,188,88,University of Illinois at Urbana-Champaign,1922,Granite City,Illinois
163,162,Jim Pollard*,193,83,Stanford University,1922,Oakland,California
164,163,John Pritchard,206,99,Drake University,1927,,
165,164,Les Pugh,201,86,Ohio State University,1923,,
166,165,Don Putman,201,86,,1923,,
167,166,George Ratkovicz,198,99,,1922,Chicago,Illinois
168,167,Don Ray,196,86,Western Kentucky University,1921,Mt. Juliet,Tennessee
169,168,Chick Reiser,180,74,New York University,1914,,
170,169,Arnie Risen*,206,90,Ohio State University,1924,Williamstown,Kentucky
171,170,Tex Ritter,188,83,Eastern Kentucky University,1924,Richmond,Kentucky
172,171,Bill Roberts,206,95,University of Wyoming,1925,Fort Wayne,Indiana
173,172,Red Rocha,206,83,Oregon State University,1923,Hilo,Hawaii
174,173,Kenny Rollins,183,76,University of Kentucky,1923,Charlestown,Missouri
175,174,Bob Royer,178,70,Indiana State University,1927,,
176,175,Jerry Rullo,178,74,Temple University,1923,Philadelphia,Pennsylvania
177,176,Ed Sadowski,196,108,Seton Hall University,1917,Johnstown,Pennsylvania
178,177,Kenny Sailors,178,79,University of Wyoming,1921,Bushnell,Nebraska
179,178,Pep Saul,188,83,Seton Hall University,1924,,
180,179,Herm Schaefer,183,79,Indiana University,1918,Fort Wayne,Indiana
181,180,Marv Schatzman,196,90,Saint Louis University,1927,,
182,181,Fred Schaus,196,92,West Virginia University,1925,Newark,Ohio
183,182,Dolph Schayes*,203,99,New York University,1928,New York,New York
184,183,Milt Schoon,201,104,Valparaiso University,1922,,
185,184,Howie Schultz,198,90,Hamline University,1922,St. Paul,Minnesota
